Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Bria Hartley,NYL,G,34,806,34,20,806,6.6,16.9,.389,2.3,7.5,.308,4.3,9.4,.453,2.9,4.1,.708,1.6,6.4,7.7,1.8,0.1,4.3,4.8,18.4
Tianna Hawkins,WAS,F,32,532,32,4,532,8.0,18.0,.443,2.5,6.9,.357,5.5,11.1,.496,1.4,1.7,.824,3.5,11.1,2.4,1.7,1.2,3.5,7.8,19.8
Tiffany Hayes,ATL,G,31,897,31,29,897,9.9,22.5,.441,2.4,7.3,.321,7.6,15.1,.500,7.7,9.5,.817,1.6,6.3,4.7,2.0,0.4,2.8,3.6,29.9
Myisha Hines-Allen,WAS,F,24,252,24,1,252,7.5,16.6,.450,0.2,0.6,.333,7.3,16.0,.455,3.5,5.4,.654,6.0,14.3,2.1,1.9,0.8,1.9,7.7,18.7
Sequoia Holmes,LVA,G,3,20,3,0,20,5.0,7.4,.667,0.0,0.0,,5.0,7.4,.667,0.0,2.5,.000,2.5,5.0,5.0,2.5,5.0,5.0,2.5,9.9
Chelsea Hopkins,CHI,G,4,58,4,4,58,2.6,5.2,.500,0.0,0.0,,2.6,5.2,.500,0.9,0.9,1.000,0.0,11.3,7.0,1.7,0.0,6.1,1.7,6.1
Natasha Howard,SEA,F,34,869,34,33,869,10.3,18.9,.547,1.0,3.1,.327,9.3,15.8,.590,4.9,6.1,.798,4.7,12.9,1.9,2.6,4.0,3.8,7.4,26.6
Briann January,PHO,G,33,895,33,33,895,4.4,10.4,.423,2.7,5.7,.470,1.7,4.7,.366,1.7,2.1,.806,0.8,3.9,6.3,1.1,0.2,2.6,4.4,13.2
Moriah Jefferson,LVA,G,16,251,16,0,251,6.5,17.2,.379,0.6,3.0,.200,5.9,14.2,.417,3.4,4.1,.810,1.0,4.1,6.7,2.0,0.0,3.2,4.1,17.0
Glory Johnson,DAL,F,29,652,29,17,652,6.6,15.8,.417,1.3,4.2,.315,5.3,11.6,.453,3.6,4.6,.780,3.6,13.4,3.0,2.2,1.1,3.0,4.7,18.0
Alexis Jones,MIN,G,26,229,26,0,229,7.3,20.7,.352,3.6,11.4,.320,3.6,9.3,.390,1.4,1.8,.750,1.1,5.2,4.1,0.7,0.5,3.9,5.9,19.6
Brionna Jones,CON,F,27,242,27,0,242,6.3,13.4,.469,0.0,0.0,,6.3,13.4,.469,5.0,6.9,.727,5.0,11.1,1.3,1.3,1.3,3.3,7.7,17.6
Jonquel Jones,CON,F,34,697,34,16,697,10.8,19.7,.550,3.6,7.8,.467,7.2,11.9,.604,3.8,5.7,.671,5.2,13.6,4.1,1.1,3.0,4.0,7.2,29.1
Lynetta Kizer,MIN,F,14,78,14,0,78,5.3,22.0,.242,0.0,2.0,.000,5.3,20.0,.267,4.0,6.7,.600,4.0,14.0,5.3,1.3,0.0,3.3,10.0,14.7
Betnijah Laney,CON,G-F,29,271,29,0,271,6.2,13.1,.471,0.2,1.7,.111,6.0,11.4,.525,1.9,2.1,.909,3.7,9.3,3.9,2.1,0.0,3.0,3.7,14.4
Crystal Langhorne,SEA,F-C,26,362,26,1,362,7.4,14.7,.500,0.0,0.6,.000,7.4,14.2,.520,2.3,2.6,.889,2.4,10.9,1.3,1.1,0.6,3.4,3.1,17.0
Erlana Larkins,MIN,F,13,168,13,0,168,3.7,8.4,.444,0.0,0.0,,3.7,8.4,.444,0.9,0.9,1.000,4.0,10.8,5.3,2.8,0.6,2.8,6.5,8.4
Jantel Lavender,LAS,F,30,511,30,7,511,7.1,16.5,.428,0.3,1.7,.188,6.8,14.9,.455,1.9,2.1,.900,3.5,11.5,2.3,1.4,0.7,3.1,4.3,16.3
Breanna Lewis,DAL,C,6,26,6,0,26,5.8,19.4,.300,0.0,0.0,,5.8,19.4,.300,1.9,1.9,1.000,5.8,13.6,0.0,0.0,1.9,5.8,11.6,13.6
Camille Little,PHO,F,33,536,33,7,536,3.2,9.6,.330,0.8,3.0,.258,2.4,6.6,.362,2.3,3.0,.774,1.5,5.7,3.8,1.7,1.0,2.8,6.8,9.4
Raigyne Louis,LVA,G,2,21,2,0,21,4.7,11.8,.400,0.0,2.4,.000,4.7,9.4,.500,4.7,7.1,.667,2.4,9.4,2.4,2.4,0.0,9.4,4.7,14.1
Jewell Loyd,SEA,G,34,1010,34,34,1010,9.2,21.8,.423,3.4,9.2,.370,5.8,12.7,.462,4.9,5.8,.851,2.1,7.9,6.4,2.2,0.3,3.3,3.1,26.8
Sancho Lyttle,PHO,F,18,419,18,18,419,7.5,13.8,.540,0.0,0.1,.000,7.5,13.7,.545,2.6,2.9,.875,3.1,11.8,3.2,2.0,0.9,2.1,5.0,17.5
Stephanie Mavunga,IND,F,25,194,25,0,194,5.6,11.8,.477,0.0,0.3,.000,5.6,11.5,.488,3.2,4.0,.800,6.7,15.0,1.1,2.1,1.6,2.9,9.4,14.5
Kayla McBride,LVA,G,31,1000,31,31,1000,9.8,21.7,.449,2.4,6.0,.393,7.4,15.7,.470,6.0,6.5,.917,1.2,6.0,5.4,1.6,0.2,3.1,1.6,27.9
Erica McCall,IND,F,34,418,34,2,418,5.2,13.6,.385,0.1,1.0,.125,5.1,12.6,.406,1.6,2.4,.684,5.8,11.6,1.6,1.5,2.0,1.5,6.8,12.2
Angel McCoughtry,ATL,F-G,29,799,29,28,799,10.7,25.5,.420,1.3,4.8,.276,9.4,20.7,.453,7.4,8.8,.836,2.9,11.0,5.4,2.4,1.0,4.8,4.7,30.1
Kelsey Mitchell,IND,G,34,829,34,17,829,8.9,25.7,.346,4.4,13.1,.335,4.5,12.6,.358,4.9,6.1,.804,0.6,3.8,5.8,1.4,0.3,4.1,5.1,27.1
Leilani Mitchell,PHO,G,31,461,31,0,461,5.1,14.6,.351,3.5,10.1,.341,1.7,4.5,.375,1.3,1.6,.857,1.1,4.8,7.8,1.6,0.7,4.0,4.5,15.0
Tiffany Mitchell,IND,G,34,871,34,20,871,6.4,17.4,.371,1.0,3.6,.267,5.5,13.8,.398,4.5,5.4,.835,1.5,6.3,4.7,1.8,0.5,2.9,3.5,18.4
Endy Miyem,MIN,F,20,101,20,1,101,6.2,19.1,.324,1.0,5.2,.200,5.2,13.9,.370,0.5,0.5,1.000,2.6,6.2,3.1,1.0,1.0,1.5,6.7,13.9
Alex Montgomery,CHI,G-F,19,122,19,0,122,2.1,7.9,.263,0.4,1.2,.333,1.7,6.6,.250,1.7,1.7,1.000,2.5,7.4,3.7,0.8,0.4,2.1,5.8,6.2
Renee Montgomery,ATL,G,34,935,34,34,935,5.8,14.8,.389,4.2,11.3,.371,1.6,3.5,.446,3.2,3.6,.881,0.2,3.1,6.7,2.4,0.1,2.9,3.1,18.9
Maya Moore,MIN,F,34,1081,34,34,1081,10.7,25.4,.423,3.2,8.7,.365,7.6,16.7,.454,4.8,5.8,.833,2.3,8.4,4.2,2.7,0.6,2.9,3.0,29.5
Kaleena Mosqueda-Lewis,SEA,F,33,442,33,4,442,7.1,17.2,.412,3.9,9.4,.420,3.1,7.8,.403,1.3,1.4,.917,0.9,5.6,3.1,0.5,0.0,2.7,4.5,19.4
Jaime Nared,LVA,G-F,31,283,31,0,283,4.2,14.0,.300,1.2,5.4,.226,3.0,8.6,.347,4.2,4.9,.857,1.7,8.0,2.4,2.3,0.3,3.0,4.5,13.8
Astou Ndour,CHI,C-F,22,255,22,9,255,7.3,15.4,.474,1.4,4.4,.318,5.9,11.1,.536,4.0,5.1,.769,4.6,10.7,1.4,1.0,2.0,2.2,6.3,20.0
Kia Nurse,NYL,G,34,774,34,7,774,6.8,17.0,.402,2.5,8.4,.294,4.4,8.6,.508,4.5,5.1,.870,1.6,5.4,3.6,1.5,0.3,2.0,4.8,20.6
Chiney Ogwumike,CON,F-C,31,790,31,31,790,11.3,18.7,.603,0.1,0.1,.500,11.2,18.6,.603,6.0,7.6,.797,5.4,14.5,2.0,2.2,1.2,3.3,6.8,28.6
Nneka Ogwumike,LAS,F,27,831,27,27,831,10.8,20.6,.525,0.6,1.7,.346,10.2,18.9,.541,4.5,5.6,.816,3.1,11.8,3.4,2.7,0.8,2.6,4.9,26.7
Courtney Paris,SEA,C,34,360,34,0,360,4.6,8.6,.533,0.0,0.1,.000,4.6,8.4,.542,1.3,2.4,.529,5.6,19.0,3.1,1.1,1.3,2.0,7.8,10.4
Candace Parker,LAS,F-C,31,949,31,30,949,11.1,23.5,.471,2.3,6.7,.345,8.8,16.8,.522,6.6,8.2,.808,2.9,14.2,8.2,2.1,1.8,5.1,3.6,31.1
Cheyenne Parker,CHI,F,34,670,34,5,670,9.6,18.2,.531,0.5,1.4,.316,9.2,16.7,.550,5.8,8.1,.713,4.5,14.8,1.7,1.4,2.7,3.6,7.1,25.5
JiSu Park,LVA,C,32,417,32,11,417,4.5,11.6,.388,0.0,0.2,.000,4.5,11.4,.396,1.5,2.5,.619,3.2,12.7,3.6,1.2,2.4,2.7,6.4,10.6
Devereaux Peters,PHO,F,5,38,5,0,38,5.4,16.2,.333,0.0,2.7,.000,5.4,13.5,.400,0.0,0.0,,2.7,10.8,2.7,0.0,0.0,2.7,6.8,10.8
Theresa Plaisance,DAL,F,7,81,7,0,81,8.7,22.4,.389,5.6,11.8,.474,3.1,10.6,.294,0.0,1.2,.000,6.2,16.2,3.1,1.2,1.2,5.0,8.1,23.0
Kelsey Plum,LVA,G,31,790,31,27,790,6.6,14.2,.467,2.9,6.7,.439,3.7,7.5,.492,2.2,2.5,.875,0.9,4.6,7.8,1.6,0.3,2.3,4.0,18.4
Alexis Prince,ATL,F,2,6,2,0,6,25.1,41.9,.600,8.4,8.4,1.000,16.8,33.5,.500,0.0,0.0,,8.4,16.8,0.0,0.0,0.0,0.0,8.4,58.7
Epiphanny Prince,NYL,G,16,305,16,12,305,8.1,20.6,.393,3.0,7.2,.419,5.1,13.3,.380,3.5,4.0,.875,1.2,4.2,4.6,2.4,0.0,2.9,5.2,22.8
LaToya Sanders,WAS,F-C,28,686,28,25,686,8.9,14.6,.607,0.0,0.1,.000,8.9,14.5,.611,4.0,4.7,.869,5.0,13.7,3.4,2.7,2.4,2.3,5.0,21.8
Allie Quigley,CHI,G,32,951,32,32,951,9.7,20.9,.466,3.9,9.2,.420,5.8,11.6,.502,2.9,3.3,.857,0.5,4.1,4.3,1.2,0.5,3.5,3.1,26.2
Noelle Quinn,SEA,G,20,181,20,1,181,3.7,12.2,.302,1.1,4.8,.235,2.6,7.4,.346,0.0,0.0,,0.6,4.8,3.7,0.3,0.6,2.8,2.0,8.5
Angel Robinson,PHO,F-C,24,238,24,0,238,4.1,9.1,.452,0.0,0.2,.000,4.1,8.8,.463,3.7,4.3,.850,5.0,15.5,2.8,1.1,1.3,4.5,6.7,11.9
Danielle Robinson,MIN,G,28,521,28,2,521,6.9,15.5,.445,0.3,1.9,.158,6.6,13.6,.485,4.1,4.8,.854,0.8,5.0,9.2,2.6,0.1,4.9,3.8,18.2
Sugar Rodgers,NYL,G,31,608,31,13,608,5.7,15.6,.362,3.6,11.2,.323,2.0,4.4,.462,1.6,1.9,.826,1.6,8.5,5.2,1.8,0.3,3.0,5.6,16.6
Leticia Romero,DAL,G,21,146,21,0,146,1.7,5.5,.313,0.3,1.7,.200,1.4,3.8,.364,4.5,5.2,.867,2.8,5.9,7.9,0.3,0.0,5.2,7.2,8.3
Tierra Ruffin-Pratt,WAS,G,33,598,33,10,598,4.9,14.4,.341,1.4,4.5,.314,3.5,9.9,.354,4.6,5.4,.855,2.0,5.9,4.5,1.7,0.5,2.3,4.7,15.9
Karlie Samuelson,LAS,G,20,84,20,0,84,4.4,11.4,.389,3.2,10.1,.313,1.3,1.3,1.000,0.0,0.0,,1.3,6.3,3.8,1.3,3.2,1.9,8.2,12.0
Shoni Schimmel,LVA,G,2,13,2,0,13,0.0,19.0,.000,0.0,15.2,.000,0.0,3.8,.000,0.0,0.0,,0.0,7.6,3.8,0.0,0.0,3.8,0.0,0.0
Odyssey Sims,LAS,G,34,867,34,24,867,6.4,16.4,.388,0.9,3.4,.273,5.5,13.0,.418,3.5,4.8,.722,0.9,5.1,5.8,1.2,0.1,3.2,3.4,17.1
Azura Stevens,DAL,F-C,34,700,34,9,700,8.0,18.6,.430,2.0,6.3,.318,6.0,12.2,.488,3.7,4.7,.788,4.2,11.2,3.2,2.2,2.8,3.7,5.0,21.7
Breanna Stewart,SEA,F,34,1074,34,34,1074,12.9,24.4,.529,2.9,7.0,.415,10.0,17.3,.576,6.7,8.2,.820,1.8,13.6,4.1,2.2,2.3,2.9,3.3,35.5
Kiah Stokes,NYL,C,30,427,30,4,427,5.1,9.3,.545,0.0,0.0,,5.1,9.3,.545,1.0,1.8,.533,5.2,16.1,1.4,1.3,2.3,2.5,6.7,11.1
Shekinna Stricklen,CON,F,34,639,34,30,639,6.1,14.2,.430,4.6,10.7,.430,1.5,3.5,.432,1.0,1.1,.857,0.7,6.1,1.3,1.6,0.3,1.5,3.6,17.7
Carolyn Swords,LVA,C,26,375,26,12,375,5.8,10.4,.557,0.0,0.0,,5.8,10.4,.557,1.8,2.1,.875,5.9,16.1,3.0,0.7,2.2,2.8,7.3,13.5
Brittney Sykes,ATL,G,29,600,29,7,600,8.1,19.8,.411,1.8,6.9,.268,6.3,12.9,.487,5.4,8.2,.663,1.5,8.5,5.7,0.8,1.5,2.7,4.4,23.6
Stephanie Talbot,PHO,F,31,453,31,8,453,4.4,9.5,.464,1.9,5.0,.386,2.5,4.5,.550,2.2,2.4,.905,2.8,6.8,4.6,1.6,1.1,3.1,5.8,12.9
Diana Taurasi,PHO,G,33,989,33,33,989,10.5,23.5,.446,5.5,14.4,.383,5.0,9.1,.545,8.9,9.7,.925,0.2,6.0,9.1,1.6,0.4,4.4,5.2,35.4
Asia Taylor,IND,F,14,116,14,0,116,4.0,13.0,.310,0.4,2.2,.200,3.6,10.8,.333,3.1,4.0,.778,4.0,11.2,2.7,1.3,0.0,4.9,5.4,11.6
Alyssa Thomas,CON,F,24,734,24,24,734,6.8,14.5,.464,0.0,0.1,.000,6.8,14.5,.467,3.6,6.5,.547,3.2,13.4,7.0,1.9,0.7,3.3,4.8,17.1
Jasmine Thomas,CON,G,34,956,34,34,956,8.5,21.3,.398,2.4,7.8,.311,6.0,13.4,.449,3.8,4.4,.855,1.4,5.9,8.6,2.0,0.4,4.5,3.7,23.1
Krystal Thomas,WAS,C,24,237,24,7,237,4.0,9.3,.429,0.0,0.0,,4.0,9.3,.429,1.5,2.4,.636,4.9,13.0,0.9,0.9,0.4,4.2,9.9,9.5
Kayla Thornton,DAL,F,34,971,34,32,971,5.9,13.2,.447,2.2,6.3,.355,3.7,7.0,.530,2.2,2.6,.860,2.3,7.1,3.2,1.8,0.6,1.9,4.8,16.3
Kristi Toliver,WAS,G,33,1087,33,33,1087,7.2,16.6,.433,3.5,9.6,.360,3.7,6.9,.535,4.3,4.7,.918,0.2,3.7,7.0,1.9,0.0,3.5,2.6,22.1
Morgan Tuck,CON,F,34,462,34,1,462,8.8,18.5,.473,2.4,6.9,.349,6.4,11.6,.547,2.1,2.5,.826,2.5,8.5,2.0,1.5,0.4,2.6,4.5,22.0
Yvonne Turner,PHO,G,32,426,32,3,426,5.7,15.1,.376,2.8,8.6,.324,2.9,6.5,.444,1.8,2.7,.682,0.8,6.9,5.2,2.5,0.2,2.4,4.3,15.9
Maria Vadeeva,LAS,C,25,204,25,0,204,10.2,19.3,.527,1.0,3.1,.333,9.1,16.1,.565,2.3,3.1,.750,4.7,14.3,2.9,2.3,2.9,3.1,11.7,23.7
Courtney Vandersloot,CHI,G,30,955,30,30,955,7.2,14.7,.489,2.4,6.0,.398,4.8,8.7,.552,3.0,3.6,.826,0.8,5.9,13.6,2.1,0.9,5.5,3.3,19.8
Kia Vaughn,NYL,C,29,532,29,27,532,7.1,13.2,.533,0.0,0.0,,7.1,13.2,.533,1.7,2.7,.643,3.3,11.1,1.9,1.9,0.7,2.8,4.8,15.9
Victoria Vivians,IND,G,34,920,34,26,920,5.9,14.7,.404,3.7,9.2,.399,2.3,5.5,.412,1.5,1.6,.931,1.0,6.0,2.3,1.8,0.3,1.9,3.5,17.1
Shatori Walker-Kimbrough,WAS,G,19,168,19,1,168,7.5,17.5,.429,2.2,7.2,.304,5.3,10.3,.515,3.7,3.7,1.000,0.9,4.7,2.5,2.2,1.9,4.7,2.5,20.9
Lindsay Whalen,MIN,G,32,617,32,29,617,5.5,15.1,.363,1.3,3.5,.357,4.2,11.6,.365,3.1,3.5,.881,0.8,6.9,8.4,1.8,0.3,3.5,3.5,15.4
Erica Wheeler,IND,G,34,737,34,22,737,7.0,19.9,.351,1.5,5.4,.276,5.5,14.5,.379,3.3,4.2,.797,1.4,7.1,9.9,2.0,0.4,3.4,5.4,18.8
