Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,34,883,34,34,883,8.1,15.3,.527,0.0,0.0,,8.1,15.3,.527,4.5,5.6,.800,5.1,13.8,2.7,1.7,1.4,2.2,6.2,20.6
Kayla Alexander,IND,C,30,257,30,0,257,6.7,12.3,.541,0.0,0.0,,6.7,12.3,.541,2.8,3.4,.824,4.2,13.1,1.0,0.8,2.0,3.8,7.5,16.2
Lindsay Allen,LVA,G,24,358,24,6,358,3.9,10.1,.384,0.1,2.2,.063,3.7,7.9,.474,2.4,3.3,.708,0.4,4.1,9.5,2.1,0.0,2.9,2.4,10.2
Rebecca Allen,NYL,F,28,291,28,0,291,6.7,17.8,.376,1.8,6.7,.263,4.9,11.1,.444,3.7,4.4,.840,2.3,8.5,1.4,1.6,1.9,2.8,6.4,18.9
Ariel Atkins,WAS,G,29,652,29,24,652,9.6,22.3,.432,3.6,10.1,.357,6.0,12.2,.493,3.4,4.1,.824,2.2,5.5,4.8,3.1,0.8,3.1,5.9,26.3
Seimone Augustus,MIN,G-F,33,864,33,33,864,9.4,20.1,.467,1.3,4.0,.318,8.1,16.2,.504,1.4,2.0,.706,0.3,3.6,5.1,0.8,0.5,2.4,1.9,21.5
Rachel Banham,CON,G,33,424,33,5,424,6.6,15.9,.414,3.6,9.7,.370,3.0,6.2,.481,3.9,4.5,.868,0.7,3.5,5.7,1.8,0.4,2.1,6.6,20.6
Alana Beard,LAS,G-F,30,766,30,30,766,3.5,9.0,.392,0.1,0.3,.400,3.4,8.7,.392,1.2,1.5,.810,2.5,6.8,3.5,3.0,0.4,1.4,5.1,8.4
Hind Ben Abdelkader,IND,G,14,142,14,0,142,2.9,15.7,.186,2.2,10.6,.207,0.7,5.1,.143,2.6,2.9,.875,0.4,5.1,4.0,1.5,0.4,4.8,3.7,10.6
Monique Billings,ATL,F,32,353,32,0,353,5.8,13.2,.441,0.0,0.0,,5.8,13.2,.441,3.4,4.6,.750,5.3,12.5,1.7,2.0,0.1,2.0,5.3,15.1
Sue Bird,SEA,G,31,824,31,31,824,7.2,15.4,.466,3.7,8.3,.448,3.4,7.0,.487,1.5,1.8,.828,0.3,3.4,13.8,2.2,0.1,3.7,2.4,19.6
Kelsey Bone,LVA,C,32,344,32,10,344,5.8,11.5,.500,0.0,0.0,,5.8,11.5,.500,1.3,2.6,.500,2.7,10.1,5.5,0.4,0.3,4.3,8.8,12.8
DeWanna Bonner,PHO,F-G,34,1120,34,34,1120,9.5,21.1,.452,2.5,8.1,.313,7.0,13.0,.539,5.4,6.2,.867,2.2,11.3,4.9,2.0,0.6,2.5,2.8,26.9
Brittany Boyd,NYL,G,30,613,30,14,613,5.9,14.2,.414,0.8,2.3,.370,5.0,11.9,.423,3.4,4.4,.774,0.8,9.8,13.3,3.1,0.3,6.8,6.0,16.0
Imani McGee-Stafford,ATL,C,29,305,29,2,305,6.4,14.2,.453,0.0,0.0,,6.4,14.2,.453,1.2,2.5,.467,6.4,16.3,3.0,2.1,1.8,3.8,7.3,14.0
Jessica Breland,ATL,F,34,899,34,34,899,6.9,16.2,.428,0.0,0.0,,6.9,16.2,.428,1.8,2.5,.750,3.2,15.0,3.8,2.2,3.6,3.2,4.8,15.7
Lexie Brown,CON,G,22,124,22,0,124,4.9,18.0,.273,3.7,11.8,.310,1.2,6.1,.200,1.6,2.9,.571,0.4,6.9,4.9,2.4,0.4,4.1,4.1,15.1
Rebekkah Brunson,MIN,F,25,691,25,25,691,4.8,11.9,.405,1.4,3.6,.375,3.5,8.3,.418,2.5,3.7,.673,2.8,12.7,4.5,1.5,1.0,2.8,4.5,13.5
Liz Cambage,DAL,C,32,945,32,32,945,14.8,25.2,.589,0.6,2.0,.324,14.2,23.2,.611,9.0,12.2,.738,4.0,16.5,3.9,0.8,2.9,4.7,4.7,39.3
Jordin Canada,SEA,G,33,543,33,2,543,6.1,17.2,.357,0.9,5.2,.182,5.2,12.0,.433,4.5,6.1,.738,0.9,4.6,10.2,2.8,0.1,5.3,3.6,17.8
Essence Carson,LAS,G,34,786,34,15,786,6.8,15.7,.435,2.6,7.3,.361,4.2,8.4,.500,1.0,1.1,.938,0.7,6.1,2.1,2.0,0.8,1.4,3.4,17.3
Tina Charles,NYL,C,33,1088,33,33,1088,12.4,26.3,.473,1.5,4.5,.326,11.0,21.8,.503,4.4,5.8,.770,3.0,10.9,4.3,1.1,0.9,4.4,4.0,30.8
Saniya Chong,DAL,G,5,43,5,0,43,1.2,7.0,.167,0.0,1.2,.000,1.2,5.9,.200,2.3,3.5,.667,1.2,4.7,5.9,3.5,0.0,1.2,3.5,4.7
Karima Christmas-Kelly,DAL,F-G,6,167,6,6,167,3.9,8.7,.448,1.2,2.7,.444,2.7,6.0,.450,7.8,9.7,.813,3.3,10.0,2.7,0.6,0.6,3.0,4.2,16.9
Alysha Clark,SEA,F,31,813,31,30,813,5.2,10.9,.480,1.8,4.7,.392,3.4,6.2,.545,2.1,2.5,.846,2.0,6.8,3.7,2.0,0.3,2.3,4.4,14.4
Natasha Cloud,WAS,G,27,715,27,22,715,6.5,14.9,.436,2.3,6.1,.386,4.2,8.9,.471,1.5,2.0,.778,0.4,6.3,9.2,1.5,0.3,3.3,4.0,16.9
Alaina Coates,CHI,C,32,364,32,0,364,5.8,10.3,.568,0.0,0.0,,5.8,10.3,.568,3.5,5.5,.625,5.4,14.1,1.8,0.8,1.0,2.4,8.0,15.1
Nia Coffey,LVA,F,28,386,28,10,386,6.7,17.6,.380,0.3,0.6,.400,6.4,16.9,.379,5.4,8.7,.618,2.7,8.5,2.2,1.2,0.8,4.9,6.0,19.0
Marissa Coleman,NYL,G-F,21,384,21,18,384,5.4,15.4,.348,1.6,5.8,.279,3.7,9.6,.389,0.8,0.8,1.000,1.7,6.7,2.9,1.3,0.7,1.7,2.9,13.1
Sydney Colson,MIN,G,2,17,2,0,17,9.2,21.4,.429,0.0,6.1,.000,9.2,15.3,.600,3.1,6.1,.500,3.1,6.1,12.3,0.0,3.1,12.3,6.1,21.4
Kahleah Copper,CHI,G-F,33,524,33,2,524,7.8,19.6,.397,2.3,6.2,.375,5.5,13.5,.407,4.7,5.4,.875,1.6,7.0,1.9,1.0,0.6,3.1,4.3,22.6
Monique Currie,WAS,F,32,508,32,9,508,7.0,17.7,.395,1.8,6.0,.293,5.3,11.8,.447,6.1,7.3,.831,1.9,9.9,2.8,1.3,0.6,3.9,7.4,21.9
Damiris Dantas,ATL,F,19,255,19,0,255,8.3,19.1,.433,1.0,4.1,.238,7.3,15.0,.487,2.6,3.5,.722,3.4,8.9,3.2,1.6,0.0,2.0,6.3,20.1
Kaela Davis,DAL,F,27,453,27,6,453,5.6,16.0,.347,1.1,4.6,.244,4.4,11.5,.388,2.8,4.3,.641,1.4,6.1,4.1,1.0,0.1,3.9,6.3,15.0
Elena Delle Donne,WAS,F-G,29,933,29,29,933,12.4,25.3,.488,2.8,6.8,.405,9.6,18.5,.518,6.2,7.0,.887,2.4,11.8,3.8,1.5,2.2,1.5,2.8,33.6
Diamond DeShields,CHI,G,34,967,34,33,967,8.7,20.4,.425,2.1,6.4,.328,6.6,14.0,.468,6.1,7.3,.836,1.9,8.7,3.9,1.9,0.5,3.7,3.9,25.5
Blake Dietrick,ATL,G,26,186,26,0,186,3.2,9.5,.343,2.4,6.2,.391,0.8,3.2,.250,1.1,1.6,.667,0.5,3.8,3.0,1.9,0.0,3.2,5.7,10.0
Skylar Diggins-Smith,DAL,G,32,1092,32,32,1092,8.6,21.3,.403,2.4,7.9,.297,6.2,13.3,.467,7.0,8.3,.839,1.0,4.9,9.2,2.1,0.8,3.7,3.4,26.5
Stefanie Dolson,CHI,C,27,745,27,25,745,7.2,15.5,.467,1.2,3.5,.346,6.0,12.0,.503,2.0,2.2,.938,1.4,8.4,5.5,1.0,1.6,3.3,5.5,17.7
Candice Dupree,IND,F,32,1006,32,32,1006,10.2,21.0,.488,0.0,0.1,.000,10.2,20.9,.489,3.0,3.7,.819,1.9,10.6,2.8,1.5,0.6,2.6,2.8,23.5
Adaora Elonu,ATL,F,1,1,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Temi Fagbenle,MIN,C,30,283,30,2,283,7.2,14.2,.506,0.0,0.0,,7.2,14.2,.506,2.9,4.2,.696,5.2,11.0,3.1,1.5,1.7,4.0,6.4,17.3
Jamierra Faulkner,CHI,G,17,360,17,0,360,6.4,18.8,.343,2.7,8.8,.302,3.8,10.0,.380,2.5,3.4,.750,0.7,3.4,9.4,1.1,0.3,4.9,3.8,18.1
Sylvia Fowles,MIN,C,34,1087,34,34,1087,11.4,18.3,.619,0.0,0.0,,11.4,18.3,.619,6.1,8.1,.757,5.8,19.4,3.5,2.3,2.0,4.9,4.9,28.8
Cayla George,DAL,C,23,245,23,1,245,7.0,16.0,.436,2.5,8.0,.308,4.5,8.0,.564,0.6,1.2,.500,3.1,13.2,3.3,0.4,1.0,2.9,6.4,17.1
Allisha Gray,DAL,G,34,907,34,34,907,5.6,13.8,.403,1.7,6.2,.270,3.9,7.6,.511,4.6,5.3,.863,2.2,6.4,4.6,2.4,0.4,2.6,4.2,17.3
Chelsea Gray,LAS,G,34,1111,34,34,1111,9.2,19.1,.484,1.8,4.6,.392,7.4,14.4,.513,3.9,4.6,.835,0.8,5.5,8.4,2.3,0.3,3.8,3.1,24.1
Brittney Griner,PHO,C,34,1108,34,34,1108,12.3,22.7,.544,0.0,0.2,.250,12.3,22.5,.546,7.6,9.5,.800,2.9,12.1,3.2,0.8,4.0,3.7,5.1,32.3
Marie Gulich,PHO,C,23,115,23,0,115,6.2,12.9,.483,0.0,0.0,,6.2,12.9,.483,2.7,3.6,.750,4.0,9.8,0.9,0.4,2.7,5.8,8.0,15.2
Jazmon Gwathmey,IND,G,10,116,10,3,116,4.0,17.5,.231,0.4,4.9,.091,3.6,12.5,.286,2.2,4.5,.500,0.9,7.6,4.0,1.3,0.9,3.1,6.3,10.8
Dearica Hamby,LVA,F,33,474,33,0,474,9.6,18.3,.526,1.4,4.7,.289,8.3,13.6,.608,4.8,6.5,.742,3.9,12.4,4.3,2.5,0.9,3.9,7.0,25.4
Linnae Harper,CHI,G,24,146,24,0,146,6.6,16.2,.404,1.4,4.5,.308,5.2,11.8,.441,2.1,3.5,.600,1.4,6.2,8.3,1.7,0.3,3.5,5.2,16.6
Amber Harris,CHI,F,1,2,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0
