Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Brittany Brewer,ATL,F,5,33,5,0,33,3.0,4.5,.667,0.0,0.0,,3.0,4.5,.667,0.0,0.0,,1.5,7.6,0.0,4.5,6.1,3.0,6.1,6.1
Kalani Brown,ATL,C,10,61,10,0,61,9.8,18.9,.522,0.0,0.0,,9.8,18.9,.522,4.9,8.2,.600,2.5,9.8,0.0,0.8,0.8,4.1,8.2,24.6
Lexie Brown,MIN,G,17,374,17,13,374,5.3,15.4,.342,1.9,7.2,.269,3.3,8.2,.407,2.6,3.3,.792,0.4,4.6,5.7,4.3,0.0,3.3,3.6,15.1
Cierra Burdick,LVA,F,13,28,13,0,28,3.5,12.3,.286,0.0,0.0,,3.5,12.3,.286,0.0,0.0,,1.8,8.8,3.5,0.0,0.0,1.8,3.5,7.1
Kennedy Burke,IND,G,22,403,22,11,403,7.2,16.1,.449,1.9,6.1,.313,5.3,10.0,.532,3.8,5.3,.714,2.4,4.9,3.2,1.8,1.0,3.4,3.0,20.1
Jordin Canada,SEA,G,20,483,20,11,483,5.8,13.8,.424,0.1,1.1,.091,5.7,12.6,.455,4.6,6.0,.772,1.0,4.8,11.4,3.1,0.0,4.2,3.7,16.4
Emma Cannon,LVA,F,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Bridget Carleton,MIN,F,22,568,22,15,568,4.8,9.3,.520,1.9,4.2,.457,2.9,5.1,.571,1.6,2.6,.643,2.0,7.2,4.9,1.4,0.0,2.5,3.7,13.3
Chennedy Carter,ATL,G,16,406,16,16,406,13.1,27.6,.473,1.5,3.9,.375,11.6,23.7,.490,6.8,8.3,.821,1.0,4.4,6.8,1.7,0.6,5.3,7.0,34.4
Kaila Charles,CON,G-F,21,376,21,7,376,5.4,13.1,.412,1.5,4.1,.367,3.9,9.1,.433,3.0,4.2,.710,3.1,7.3,2.6,2.2,0.9,2.6,6.1,15.3
Karima Christmas-Kelly,MIN,F-G,2,25,2,0,25,2.1,14.5,.143,0.0,6.2,.000,2.1,8.3,.250,14.5,16.6,.875,2.1,12.5,2.1,6.2,2.1,8.3,4.2,18.7
Layshia Clarendon,NYL,G,19,496,19,19,496,7.4,15.8,.465,1.5,4.4,.341,5.9,11.4,.513,5.5,6.3,.873,0.6,4.8,7.4,1.8,0.0,6.4,5.5,21.7
Alysha Clark,SEA,F,22,633,22,22,633,6.5,11.7,.558,2.8,5.3,.522,3.7,6.4,.588,1.6,2.0,.800,1.5,7.4,4.7,2.6,0.9,1.5,3.0,17.5
Alaina Coates,WAS,C,20,197,20,0,197,4.8,9.0,.529,0.0,0.0,,4.8,9.0,.529,3.7,6.9,.538,5.3,14.6,2.4,1.9,1.1,3.2,8.8,13.3
Nia Coffey,PHO,F,15,230,15,1,230,3.5,8.2,.421,1.5,4.6,.333,2.0,3.7,.529,0.2,1.3,.167,1.1,8.0,2.6,1.1,1.1,1.5,6.5,8.7
Napheesa Collier,MIN,F,22,752,22,22,752,9.4,18.0,.523,1.4,3.4,.408,8.0,14.6,.550,4.3,5.2,.829,4.2,13.7,5.0,2.8,1.9,4.1,4.1,24.5
Sydney Colson,CHI,G,17,110,17,0,110,4.5,9.9,.455,1.4,4.1,.333,3.2,5.9,.538,3.2,3.6,.875,0.5,3.2,6.3,2.7,0.0,6.3,5.9,13.5
Te'a Cooper,LAS,G,20,345,20,3,345,7.5,16.5,.451,1.6,4.7,.344,5.9,11.8,.494,3.8,5.0,.765,0.3,2.9,5.9,1.9,0.0,4.2,5.7,20.3
Kahleah Copper,CHI,G-F,22,688,22,22,688,9.5,19.2,.496,1.5,4.4,.344,8.0,14.8,.541,3.0,4.1,.737,1.5,8.7,3.4,1.5,0.4,3.9,3.7,23.6
Lauren Cox,IND,F,14,183,14,1,183,5.0,12.0,.419,0.8,1.7,.500,4.2,10.3,.405,3.1,4.2,.733,2.8,12.8,5.3,1.7,1.1,3.1,5.6,13.9
Sophie Cunningham,PHO,G,21,396,21,11,396,4.4,11.5,.385,1.5,6.4,.235,2.9,5.0,.575,2.8,3.1,.880,1.1,2.8,2.0,1.4,0.4,1.9,5.8,13.1
Crystal Dangerfield,MIN,G,21,629,21,19,629,10.2,21.7,.471,2.8,8.4,.333,7.4,13.3,.559,4.9,5.3,.922,0.4,3.4,6.2,1.5,0.1,4.5,2.6,28.1
Damiris Dantas,MIN,F,22,586,22,22,586,9.0,19.5,.464,3.5,8.0,.433,5.6,11.5,.485,3.5,4.9,.727,3.3,11.9,5.1,2.2,0.4,3.5,5.0,25.1
Kaela Davis,ATL,F,2,2,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diamond DeShields,CHI,G,13,224,13,0,224,8.0,18.4,.434,0.7,4.0,.167,7.3,14.4,.508,3.1,4.0,.778,0.7,5.1,4.4,2.7,0.2,6.6,6.0,19.7
Blake Dietrick,ATL,G,22,463,22,4,463,5.3,11.2,.471,2.8,6.3,.448,2.5,5.0,.500,0.5,0.9,.625,0.9,3.9,8.1,1.9,0.3,4.3,4.5,13.9
Skylar Diggins-Smith,PHO,G,22,675,22,22,675,9.4,19.8,.474,3.4,8.6,.397,6.0,11.2,.533,6.7,7.4,.900,0.8,5.4,6.9,1.5,0.8,5.2,3.7,28.8
Stefanie Dolson,CHI,C,15,273,15,8,273,6.2,12.7,.486,2.2,5.8,.375,4.0,6.9,.579,2.5,3.5,.737,2.0,9.4,4.5,1.1,2.4,2.7,8.7,17.1
Kathleen Doyle,IND,G,18,155,18,0,155,3.3,13.5,.244,1.6,6.9,.238,1.6,6.6,.250,0.7,1.3,.500,1.0,4.9,6.2,2.3,0.0,5.9,8.5,8.9
Candice Dupree,IND,F,22,665,22,22,665,8.9,19.2,.462,0.2,1.4,.167,8.7,17.8,.485,3.1,3.7,.854,2.1,9.6,4.2,1.2,0.7,2.1,2.1,21.1
Sylvia Fowles,MIN,C,7,168,7,7,168,12.1,19.8,.609,0.0,0.0,,12.1,19.8,.609,7.4,9.0,.828,6.5,21.0,1.9,1.9,2.5,2.5,5.6,31.5
Allisha Gray,DAL,G,20,524,20,14,524,8.9,19.2,.464,2.5,7.0,.352,6.5,12.3,.528,5.3,6.4,.831,2.6,8.2,2.5,2.2,0.6,2.2,3.7,25.6
Chelsea Gray,LAS,G,22,679,22,22,679,9.1,20.5,.442,1.3,4.4,.305,7.7,16.1,.479,3.4,3.6,.939,1.1,6.0,8.6,2.5,0.1,4.5,2.8,22.9
Reshanda Gray,LAS,F,10,62,10,0,62,3.3,9.0,.364,0.0,0.0,,3.3,9.0,.364,4.9,5.7,.857,4.9,22.8,2.4,0.8,3.3,8.1,8.1,11.4
Brittney Griner,PHO,C,12,382,12,12,382,11.4,22.9,.497,0.0,0.1,.000,11.4,22.7,.500,5.0,6.1,.809,2.4,11.8,4.7,0.5,2.9,3.9,3.9,27.7
Marie Gulich,LAS,C,12,119,12,1,119,5.5,11.0,.500,0.0,1.3,.000,5.5,9.8,.565,1.3,1.3,1.000,2.1,7.6,3.0,1.7,1.3,2.1,9.8,12.3
Megan Gustafson,DAL,C,10,48,10,0,48,4.3,15.0,.286,0.0,1.1,.000,4.3,13.9,.308,6.4,9.6,.667,6.4,11.8,1.1,0.0,1.1,2.1,9.6,15.0
Dearica Hamby,LVA,F,22,622,22,0,622,8.7,16.2,.539,1.4,3.0,.474,7.3,13.2,.554,3.8,5.3,.716,2.2,12.5,4.8,2.9,0.3,3.6,4.0,22.7
Isabelle Harrison,DAL,F,13,258,13,11,258,6.8,15.1,.447,0.0,0.6,.000,6.8,14.5,.466,3.0,3.8,.789,3.8,11.9,3.8,1.8,1.0,3.6,6.4,16.5
Mikiah Herbert Harrigan,MIN,F,21,234,21,0,234,6.7,18.2,.366,3.1,7.3,.424,3.6,10.9,.327,1.1,1.6,.714,3.1,10.7,1.6,1.8,2.0,3.3,4.7,17.5
Tyasha Harris,DAL,G,21,412,21,3,412,6.9,15.8,.433,2.4,7.0,.339,4.5,8.9,.507,1.7,2.7,.636,0.0,3.2,7.0,2.2,0.4,2.2,4.5,17.8
Bria Hartley,PHO,G,13,322,13,3,322,10.2,24.3,.420,3.9,10.1,.385,6.4,14.3,.446,5.1,6.4,.805,0.8,5.9,9.0,2.3,0.0,4.2,5.1,29.4
Tianna Hawkins,WAS,F,17,329,17,5,329,8.4,20.7,.408,2.7,9.1,.298,5.7,11.6,.493,3.5,4.1,.846,1.9,9.5,2.7,2.2,1.0,3.2,7.0,23.1
Ruthy Hebard,CHI,F,22,320,22,6,320,9.0,13.2,.682,0.0,0.0,,9.0,13.2,.682,1.4,1.9,.750,2.8,13.3,1.1,1.6,1.2,2.3,5.4,19.4
Natisha Hiedeman,CON,G,22,408,22,4,408,5.6,15.8,.354,2.9,8.0,.359,2.7,7.9,.349,2.6,3.7,.700,1.0,5.2,5.1,1.0,0.0,3.0,5.4,16.7
Myisha Hines-Allen,WAS,F,22,659,22,22,659,11.9,23.4,.510,2.1,4.8,.426,9.8,18.5,.532,3.8,4.6,.828,2.8,15.5,4.5,2.5,0.4,3.8,5.0,29.7
Bria Holmes,CON,G,18,291,18,4,291,6.1,17.1,.357,1.7,5.2,.333,4.4,11.9,.368,1.4,2.1,.667,2.3,5.8,3.5,2.3,0.9,3.1,3.0,15.4
Joyner Holmes,NYL,F,19,190,19,0,190,5.7,18.7,.306,0.8,7.3,.107,4.9,11.4,.432,2.3,3.1,.750,3.9,13.2,3.4,0.5,0.5,3.4,3.6,14.5
Natasha Howard,SEA,F,22,463,22,22,463,9.5,17.9,.530,0.8,2.2,.350,8.7,15.7,.556,3.1,3.9,.778,5.7,17.0,2.4,4.1,1.5,5.0,7.3,22.8
Sabrina Ionescu,NYL,G,3,80,3,3,80,11.7,25.9,.452,4.3,12.3,.350,7.4,13.6,.545,6.2,6.2,1.000,1.2,8.6,7.4,1.2,0.0,8.0,2.5,33.9
Briann January,CON,G,13,303,13,10,303,3.7,12.6,.293,1.8,5.2,.355,1.8,7.4,.250,1.7,2.0,.833,0.7,2.7,7.4,1.3,0.3,2.5,4.2,10.9
Moriah Jefferson,DAL,G,9,148,9,6,148,6.2,15.3,.409,0.7,2.1,.333,5.6,13.2,.421,2.4,4.2,.583,2.8,9.7,6.2,2.4,0.7,5.2,5.9,15.6
Glory Johnson,ATL,F,18,277,18,1,277,5.6,15.0,.373,2.0,7.6,.262,3.6,7.4,.488,2.2,4.3,.500,1.3,12.1,2.0,2.7,1.3,2.3,4.9,15.3
Shenise Johnson,MIN,G,17,212,17,4,212,6.9,20.1,.341,1.5,4.2,.353,5.4,15.9,.338,6.1,6.9,.893,2.4,8.1,5.1,3.9,0.2,4.9,4.4,21.3
Alexis Jones,ATL,G,6,53,6,0,53,7.5,19.8,.381,6.6,17.9,.368,0.9,1.9,.500,0.9,1.9,.500,0.0,0.0,4.7,2.8,0.0,5.7,2.8,22.6
Brionna Jones,CON,F,21,549,21,21,549,9.1,15.0,.605,0.1,0.1,1.000,9.0,14.9,.602,3.5,5.1,.691,5.5,10.9,1.9,3.2,1.3,3.2,6.0,21.8
Jazmine Jones,NYL,G,20,428,20,2,428,8.0,19.7,.404,1.7,5.2,.333,6.2,14.5,.429,7.3,9.2,.788,2.1,9.3,5.2,3.2,1.0,6.6,6.8,24.9
Paris Kea,NYL,G,11,165,11,5,165,8.4,21.8,.384,3.9,9.9,.394,4.5,12.0,.375,2.1,2.4,.875,1.5,6.6,4.8,2.1,0.9,5.7,3.6,22.7
Betnijah Laney,ATL,G-F,22,738,22,22,738,9.7,20.1,.481,2.0,5.0,.405,7.7,15.1,.507,4.2,5.1,.827,1.6,7.3,5.9,2.4,0.1,4.5,3.8,25.6
Crystal Langhorne,SEA,F-C,13,107,13,0,107,3.3,8.0,.412,0.5,2.4,.200,2.8,5.7,.500,1.4,2.8,.500,1.4,13.2,2.8,0.5,0.5,5.2,3.3,8.5
Kiara Leslie,WAS,G,19,414,19,10,414,4.8,13.7,.352,2.1,5.9,.362,2.7,7.7,.344,1.5,1.6,.923,1.9,7.2,2.5,1.1,0.9,2.3,3.4,13.3
Jewell Loyd,SEA,G,22,613,22,22,613,9.2,20.8,.443,3.2,8.2,.390,6.0,12.6,.477,6.3,7.2,.875,1.2,4.3,5.8,2.6,0.5,3.4,2.8,28.0
Marina Mabrey,DAL,G,19,405,19,12,405,8.6,20.0,.430,4.8,11.5,.418,3.8,8.5,.448,2.0,3.0,.667,1.4,7.5,5.5,3.2,0.3,3.8,4.6,24.1
Ezi Magbegor,SEA,C,22,292,22,0,292,10.7,18.8,.569,0.2,0.5,.333,10.5,18.3,.575,3.3,4.7,.704,4.3,9.3,1.2,2.1,2.8,1.6,7.4,24.9
Kayla McBride,LVA,G,22,587,22,22,587,7.6,17.8,.425,2.1,6.1,.342,5.5,11.7,.468,5.9,6.6,.897,0.8,4.3,4.4,2.2,0.2,2.6,2.5,23.1
Angel McCoughtry,LVA,F-G,22,440,22,22,440,13.1,25.4,.518,1.8,3.8,.471,11.3,21.6,.526,7.5,8.5,.882,4.2,12.6,6.1,3.3,0.7,4.3,5.5,35.6
Teaira McCowan,IND,C,22,461,22,10,461,9.9,18.6,.536,0.0,0.3,.000,9.9,18.2,.545,6.6,8.8,.750,7.6,17.8,1.5,0.8,2.4,4.9,6.4,26.5
Emma Meesseman,WAS,F,20,634,20,20,634,9.0,19.8,.454,1.1,3.7,.289,7.9,16.1,.492,2.4,2.9,.829,2.7,8.8,7.4,2.0,1.3,3.3,2.9,21.5
Kelsey Mitchell,IND,G,22,706,22,22,706,10.0,22.2,.448,4.0,10.4,.389,5.9,11.8,.500,4.5,5.3,.849,0.4,3.5,4.5,1.0,0.1,3.9,4.5,28.4
Leilani Mitchell,WAS,G,22,673,22,22,673,5.7,13.9,.408,2.3,7.4,.305,3.4,6.5,.524,2.6,3.0,.872,0.9,4.8,9.3,1.4,0.1,3.0,3.6,16.3
Tiffany Mitchell,IND,G,19,502,19,11,502,7.5,21.7,.346,1.7,7.4,.233,5.8,14.3,.404,7.8,8.2,.951,1.5,6.6,5.0,1.2,0.2,4.6,5.0,24.6
Beatrice Mompremier,CON,F,21,187,21,0,187,5.4,12.8,.426,0.0,0.0,,5.4,12.8,.426,2.2,4.9,.444,8.7,19.0,0.8,1.4,3.5,3.8,7.6,13.1
Kaleena Mosqueda-Lewis,CON,F,16,164,16,0,164,5.9,19.9,.297,3.7,14.6,.255,2.2,5.3,.412,1.2,2.2,.571,0.3,6.5,1.2,0.9,0.3,2.2,5.3,16.8
Astou Ndour,DAL,C-F,13,151,13,7,151,6.8,19.4,.351,2.0,8.5,.240,4.8,10.9,.438,0.0,0.0,,4.4,12.9,2.0,1.0,2.0,2.0,9.9,15.7
Kia Nurse,NYL,G,21,578,21,18,578,5.8,21.3,.273,2.6,11.1,.238,3.2,10.2,.311,7.6,8.8,.864,0.9,5.1,4.1,0.9,0.3,3.9,3.2,21.9
Leaonna Odom,NYL,F,22,453,22,16,453,5.2,10.7,.490,0.5,2.2,.250,4.7,8.5,.551,2.2,2.5,.870,3.7,5.4,1.7,1.6,0.9,1.6,4.0,13.2
Arike Ogunbowale,DAL,G,22,748,22,22,748,11.9,28.8,.413,3.3,9.8,.336,8.6,19.0,.453,7.3,8.6,.856,0.7,4.2,5.2,2.4,0.0,3.2,3.7,34.4
Nneka Ogwumike,LAS,F,18,476,18,18,476,10.1,17.7,.569,1.0,1.9,.500,9.1,15.8,.577,4.3,5.2,.837,2.2,9.2,3.3,2.0,0.3,3.0,4.3,25.4
Candace Parker,LAS,F-C,22,665,22,22,665,9.4,18.4,.510,1.4,3.6,.396,8.0,14.8,.538,4.3,5.9,.731,2.8,16.2,7.7,2.0,2.0,4.9,3.9,24.6
Cheyenne Parker,CHI,F,20,497,20,13,497,9.7,17.5,.554,1.5,3.2,.469,8.2,14.3,.573,5.8,6.8,.853,4.7,12.8,3.0,2.6,1.8,5.5,6.3,26.7
Theresa Plaisance,CON,F,13,90,13,0,90,6.2,16.4,.379,2.8,9.6,.294,3.4,6.8,.500,2.8,3.4,.833,1.1,7.4,0.6,2.8,1.7,1.1,11.3,18.1
Aerial Powers,WAS,G,6,179,6,6,179,9.4,20.2,.464,2.6,7.6,.346,6.7,12.6,.535,7.3,8.8,.833,0.6,8.5,4.4,2.6,0.0,3.2,4.7,28.7
Alexis Prince,CHI,F,2,16,2,0,16,9.3,15.5,.600,6.2,9.3,.667,3.1,6.2,.500,0.0,0.0,,6.2,9.3,0.0,0.0,3.1,0.0,3.1,24.8
Epiphanny Prince,SEA,G,15,190,15,0,190,5.8,15.1,.386,2.4,7.2,.333,3.5,8.0,.433,2.9,3.5,.846,0.3,4.8,5.6,1.6,0.5,3.2,5.8,17.0
Allie Quigley,CHI,G,22,631,22,22,631,10.1,22.6,.448,3.6,10.5,.346,6.5,12.2,.535,2.7,2.9,.919,0.5,5.0,4.1,1.1,0.5,2.2,2.4,26.6
Danielle Robinson,LVA,G,22,492,22,1,492,6.2,12.1,.512,0.5,1.3,.385,5.7,10.8,.528,3.4,4.2,.810,0.5,5.3,7.1,1.9,0.2,2.8,3.8,16.4
Sugar Rodgers,LVA,G,22,263,22,1,263,4.9,15.2,.321,3.8,12.0,.313,1.1,3.2,.353,0.6,0.8,.750,0.6,5.3,5.8,1.3,0.6,3.0,4.7,14.1
Tierra Ruffin-Pratt,LAS,G,17,251,17,10,251,2.4,9.0,.267,1.2,2.6,.462,1.2,6.4,.188,3.8,5.2,.731,1.8,7.2,3.0,2.2,0.6,1.8,5.6,9.9
Mercedes Russell,SEA,C,22,304,22,2,304,5.3,12.9,.410,0.0,0.0,,5.3,12.9,.410,2.3,4.1,.560,2.7,11.6,2.2,1.3,1.3,2.7,3.5,12.9
Satou Sabally,DAL,F,16,450,16,14,450,7.6,20.8,.368,1.5,7.5,.197,6.2,13.2,.466,8.6,9.8,.872,4.7,14.2,4.6,1.6,1.6,4.0,5.7,25.3
Katie Lou Samuelson,DAL,F,22,439,22,4,439,4.7,11.2,.417,2.2,7.0,.317,2.5,4.2,.583,1.3,1.8,.733,0.9,6.2,3.5,1.8,1.1,1.4,3.7,12.9
Kylee Shook,NYL,F,20,290,20,0,290,5.4,13.4,.405,0.5,2.9,.176,4.9,10.5,.468,2.4,2.9,.824,2.6,9.5,1.9,1.2,1.7,3.4,4.4,13.8
Odyssey Sims,MIN,G,13,240,13,7,240,9.1,22.5,.404,1.7,5.2,.333,7.4,17.3,.425,6.5,7.1,.909,1.7,5.6,9.7,1.5,0.2,5.4,4.8,26.4
Kamiah Smalls,IND,G,7,100,7,0,100,4.6,10.2,.450,3.6,6.1,.583,1.0,4.1,.250,1.0,1.0,1.000,2.5,4.1,7.1,0.5,0.5,1.0,1.5,13.8
Alanna Smith,PHO,F,19,296,19,0,296,7.2,17.2,.422,1.7,7.2,.233,5.6,9.9,.559,3.4,4.9,.690,3.5,11.6,3.9,0.8,2.5,3.0,7.9,19.5
Azura Stevens,CHI,F-C,13,355,13,13,355,8.2,16.5,.500,2.1,5.5,.385,6.1,11.0,.557,2.4,2.8,.850,2.5,10.8,2.8,1.7,3.4,2.8,5.5,21.0
Breanna Stewart,SEA,F,20,607,20,20,607,11.1,24.5,.451,2.9,7.9,.368,8.1,16.6,.490,7.7,8.6,.894,1.7,13.7,6.0,2.7,2.2,4.2,3.7,32.8
Kiah Stokes,NYL,C,22,601,22,22,601,4.2,11.2,.372,1.6,7.0,.235,2.5,4.3,.596,0.3,0.6,.571,2.3,12.1,2.1,0.9,2.1,2.4,3.7,10.3
Shekinna Stricklen,ATL,F,22,482,22,15,482,4.9,14.3,.341,3.4,10.3,.333,1.5,4.0,.359,0.8,0.8,1.000,0.4,4.4,1.5,0.7,0.1,1.6,4.5,14.0
Sug Sutton,WAS,G,12,113,12,0,113,5.6,15.3,.364,2.3,7.9,.294,3.2,7.4,.438,2.3,3.2,.714,0.0,3.7,5.6,0.5,0.0,2.8,5.1,15.7
Carolyn Swords,LVA,C,22,384,22,21,384,3.0,6.4,.460,0.0,0.0,,3.0,6.4,.460,2.2,2.8,.773,4.2,13.1,2.6,0.6,0.1,2.3,2.7,8.1
Brittney Sykes,LAS,G,21,517,21,14,517,7.1,14.6,.487,1.6,4.8,.327,5.6,9.9,.564,4.9,6.1,.806,1.6,5.3,4.4,3.0,0.6,3.5,6.1,20.7
Diana Taurasi,PHO,G,19,533,19,19,533,9.0,22.0,.409,5.7,15.6,.365,3.3,6.4,.515,9.6,10.6,.912,0.2,7.4,8.0,1.8,0.7,4.1,4.9,33.3
Alyssa Thomas,CON,F,21,689,21,21,689,9.0,18.0,.500,0.0,0.1,.000,9.0,17.9,.502,6.0,8.7,.686,2.9,14.0,7.5,3.1,0.4,3.8,4.4,24.0
Jasmine Thomas,CON,G,19,485,19,19,485,8.0,19.7,.404,2.2,6.6,.333,5.8,13.1,.440,2.2,2.4,.913,0.4,3.5,8.0,2.5,0.5,4.8,3.1,20.4
Kayla Thornton,DAL,F,22,557,22,14,557,5.0,11.6,.429,2.3,6.6,.347,2.7,5.0,.537,2.6,3.0,.875,3.0,10.4,1.6,1.8,0.4,2.3,6.0,14.8
Morgan Tuck,SEA,F,10,88,10,0,88,2.9,9.2,.313,1.1,5.2,.222,1.7,4.0,.429,2.9,4.6,.625,1.1,3.4,1.1,2.9,0.0,3.4,6.9,9.7
Brianna Turner,PHO,F,22,613,22,22,613,5.4,9.3,.579,0.0,0.1,.000,5.4,9.2,.584,2.2,3.4,.643,4.6,16.1,3.2,2.0,3.5,2.5,5.4,12.9
Courtney Vandersloot,CHI,G,22,693,22,22,693,7.7,15.6,.491,2.1,5.4,.395,5.5,10.2,.542,4.0,4.5,.889,0.8,5.5,15.7,1.9,0.6,3.9,3.3,21.5
Kia Vaughn,PHO,C,22,415,22,10,415,7.5,15.3,.488,0.0,0.2,.000,7.5,15.0,.496,1.3,2.3,.579,2.9,9.6,4.1,1.3,0.8,4.1,4.7,16.2
Victoria Vivians,IND,G,6,85,6,0,85,6.0,17.4,.345,1.2,6.6,.182,4.8,10.8,.444,4.2,4.8,.875,1.2,8.4,1.8,0.6,0.0,3.6,9.0,17.4
Megan Walker,NYL,F,18,205,18,0,205,6.0,18.8,.321,1.4,10.3,.140,4.6,8.4,.543,0.7,1.2,.600,2.6,6.5,1.4,1.0,0.0,1.7,3.6,14.2
Shatori Walker-Kimbrough,PHO,G,21,400,21,10,400,6.7,15.7,.429,2.7,6.4,.431,4.0,9.4,.427,2.9,3.1,.920,0.7,4.2,4.0,2.9,1.0,2.6,3.0,19.1
Avery Warley-Talbert,LVA,C,3,24,3,0,24,6.2,14.4,.429,0.0,0.0,,6.2,14.4,.429,4.1,6.2,.667,10.3,16.5,6.2,0.0,0.0,4.1,12.3,16.5
Sami Whitcomb,SEA,G,22,363,22,0,363,8.6,19.5,.443,4.4,11.7,.381,4.2,7.8,.536,3.1,3.1,1.000,0.6,6.9,6.1,2.2,0.4,3.1,4.3,24.7
Sydney Wiese,LAS,G,19,363,19,15,363,6.5,12.9,.505,3.5,7.4,.472,3.1,5.6,.550,1.5,1.7,.917,0.7,4.6,3.1,1.5,0.3,3.1,2.4,18.1
Courtney Williams,ATL,G,20,615,20,14,615,10.9,25.0,.436,0.7,2.8,.235,10.2,22.2,.462,1.3,1.9,.696,3.0,11.6,5.1,1.1,0.2,4.4,3.2,23.7
Elizabeth Williams,ATL,C-F,22,647,22,22,647,6.7,13.8,.489,0.0,0.0,,6.7,13.8,.489,3.8,5.1,.742,3.8,9.7,2.4,1.3,2.3,1.9,4.4,17.2
Gabby Williams,CHI,F,22,546,22,4,546,6.1,14.4,.424,1.8,6.4,.286,4.3,8.0,.534,1.5,2.3,.640,1.8,8.0,4.0,2.6,0.5,3.4,2.9,15.4
Riquna Williams,LAS,G,21,444,21,4,444,9.2,21.1,.435,4.9,11.6,.422,4.3,9.5,.452,1.8,2.0,.889,0.3,4.3,3.5,2.7,0.8,2.2,4.7,25.1
Jocelyn Willoughby,NYL,F-G,22,383,22,5,383,5.0,14.0,.358,1.9,4.8,.405,3.1,9.3,.333,4.5,5.4,.833,1.9,6.8,2.6,1.9,0.8,4.1,6.4,16.5
A'ja Wilson,LVA,F,22,697,22,22,697,11.8,24.5,.480,0.0,0.0,,11.8,24.5,.480,8.4,10.7,.781,2.4,13.3,3.2,1.9,3.1,2.5,3.5,31.9
Jackie Young,LVA,G,22,568,22,0,568,8.1,16.4,.492,0.3,1.1,.231,7.8,15.3,.511,4.5,5.3,.852,1.6,8.3,5.8,1.3,0.2,3.0,3.4,21.0
Amanda Zahui B.,NYL,C,21,531,21,20,531,6.0,17.1,.353,3.2,9.3,.340,2.9,7.8,.369,2.3,3.3,.694,1.4,16.5,3.7,1.8,2.4,5.0,6.0,17.6
