Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,18,364,18,11,364,8.0,16.1,.496,0.0,1.4,.000,8.0,14.7,.543,3.6,4.5,.813,3.6,13.9,4.3,1.3,1.5,4.6,6.4,19.6
Jaylyn Agnew,ATL,F,12,71,12,0,71,2.8,10.6,.267,2.1,9.2,.231,0.7,1.4,.500,2.8,3.5,.800,0.0,3.5,2.1,0.0,0.0,3.5,4.9,10.6
Bella Alarie,DAL,C-F,22,309,22,3,309,4.0,11.0,.364,0.2,2.2,.077,3.8,8.8,.434,1.7,2.0,.833,3.8,10.5,1.8,2.3,3.0,1.8,5.8,9.8
Kayla Alexander,MIN,C,16,89,16,0,89,9.3,17.5,.533,0.0,0.0,,9.3,17.5,.533,2.9,4.7,.625,5.3,8.8,1.8,1.2,1.8,3.5,8.2,21.6
Julie Allemand,IND,G,22,716,22,22,716,4.3,9.5,.455,3.1,6.5,.478,1.2,3.0,.405,1.6,2.1,.733,0.6,7.1,9.1,1.8,0.6,4.1,4.1,13.4
Lindsay Allen,LVA,G,21,284,21,21,284,4.9,11.5,.424,1.0,3.0,.353,3.8,8.5,.449,1.4,1.7,.800,1.0,4.0,8.9,1.2,0.2,2.8,3.5,12.2
Kristine Anigwe,LAS,F-C,17,197,17,1,197,8.2,13.6,.604,0.0,0.0,,8.2,13.6,.604,3.6,6.7,.538,4.6,11.5,1.0,2.8,1.8,4.1,8.5,20.0
Ariel Atkins,WAS,G,22,682,22,22,682,8.4,19.3,.438,3.4,8.2,.411,5.1,11.1,.458,4.8,5.4,.886,1.4,4.9,4.1,3.1,0.3,3.2,4.5,25.0
Seimone Augustus,LAS,G-F,21,332,21,0,332,8.2,16.7,.491,1.8,3.3,.545,6.4,13.4,.477,0.6,0.9,.667,0.5,5.6,3.8,1.8,0.3,1.2,3.0,18.8
Rachel Banham,MIN,G,20,339,20,1,339,7.4,15.9,.462,3.8,8.1,.472,3.5,7.8,.451,2.5,3.1,.800,0.3,3.8,7.2,1.4,0.3,3.1,6.1,21.0
Monique Billings,ATL,F,22,596,22,16,596,5.7,14.3,.400,0.0,0.0,,5.7,14.3,.400,4.3,5.6,.761,4.9,15.7,2.3,2.0,1.5,3.5,5.2,15.7
Sue Bird,SEA,G,11,257,11,11,257,8.0,16.3,.494,4.5,9.6,.469,3.5,6.7,.529,0.6,0.8,.750,0.2,3.7,11.2,1.4,0.4,3.5,1.8,21.2
DeWanna Bonner,CON,F-G,22,732,22,22,732,10.3,24.4,.422,1.9,7.4,.252,8.4,17.0,.496,7.7,8.6,.895,2.4,12.0,4.5,2.6,0.8,3.6,3.3,30.2
