Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Alanna Smith,PHO,F,18,134,18,0,134,3.1,16.1,.195,0.8,7.1,.111,2.4,9.1,.261,0.4,0.8,.500,4.3,13.8,1.6,2.0,2.0,3.1,7.1,7.5
Azura Stevens,DAL,F-C,9,144,9,1,144,7.1,19.9,.358,0.4,3.4,.111,6.8,16.5,.409,1.5,1.9,.800,5.6,12.0,1.9,1.9,3.8,3.4,4.5,16.1
Shekinna Stricklen,CON,F,34,804,34,34,804,6.6,16.1,.408,4.8,12.6,.382,1.8,3.5,.500,1.4,1.7,.815,0.6,4.1,2.5,2.2,0.4,1.8,5.0,19.4
Carolyn Swords,LVA,C,29,257,29,4,257,6.2,14.1,.438,0.0,0.0,,6.2,14.1,.438,2.1,2.5,.846,3.7,12.1,1.9,1.3,0.6,3.3,5.2,14.4
Brittney Sykes,ATL,G,34,880,34,27,880,7.5,20.6,.365,1.6,6.3,.259,5.9,14.3,.412,3.8,5.3,.703,1.5,8.9,5.0,1.2,0.9,4.0,3.5,20.4
Stephanie Talbot,MIN,F,33,561,33,10,561,5.2,14.1,.370,2.8,8.7,.326,2.4,5.4,.441,2.5,2.8,.871,1.7,7.2,3.8,2.8,0.8,3.9,3.4,15.8
Diana Taurasi,PHO,G,6,129,6,6,129,1.6,15.9,.103,0.4,9.8,.042,1.2,6.1,.200,6.9,7.4,.944,0.4,7.8,13.1,0.8,0.4,5.3,6.1,10.6
Alyssa Thomas,CON,F,34,1026,34,34,1026,8.3,16.5,.505,0.0,0.0,.000,8.3,16.5,.506,3.0,6.0,.496,4.1,13.1,5.2,3.3,0.6,3.4,4.8,19.6
Jasmine Thomas,CON,G,34,1009,34,34,1009,7.0,17.9,.392,2.3,6.2,.366,4.7,11.7,.405,2.8,3.5,.800,1.0,4.9,8.8,2.4,0.3,4.7,3.1,19.1
Kayla Thornton,DAL,F,27,822,27,25,822,6.5,19.0,.343,1.8,6.8,.272,4.7,12.2,.382,3.6,3.8,.931,3.2,9.4,3.2,1.6,0.5,2.9,3.9,18.4
Shao Ting,MIN,F,5,27,5,0,27,3.8,19.1,.200,0.0,0.0,,3.8,19.1,.200,3.8,5.7,.667,3.8,11.4,3.8,0.0,1.9,3.8,11.4,11.4
Kristi Toliver,WAS,G,23,678,23,23,678,8.9,18.1,.494,2.8,7.7,.360,6.1,10.4,.593,2.3,2.7,.857,0.8,5.1,10.5,2.1,0.2,3.6,2.4,22.9
Morgan Tuck,CON,F,33,352,33,0,352,6.5,16.8,.388,2.2,6.1,.357,4.3,10.7,.405,2.6,4.3,.600,2.6,9.5,4.0,1.9,0.4,4.3,6.4,17.8
Brianna Turner,PHO,F,29,462,29,12,462,5.6,10.4,.538,0.0,0.0,,5.6,10.4,.538,2.2,3.0,.731,5.1,13.7,1.7,0.8,2.4,2.2,5.7,13.4
Yvonne Turner,PHO,G,29,595,29,14,595,5.2,15.2,.343,2.3,7.0,.329,2.9,8.2,.355,3.8,4.3,.878,0.7,7.1,5.9,1.6,0.2,5.2,3.3,16.6
Maria Vadeeva,LAS,C,15,180,15,1,180,14.4,29.4,.490,1.4,4.5,.313,13.0,24.9,.523,2.8,3.7,.769,5.1,16.4,2.8,4.2,0.8,5.1,6.5,33.1
